EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY,XAUUSD
116543,129610,94413,111123,125639,79086,74388,163966,99209,74982,88265,106316,146901,146039,110380,89875,129602,156683,117334,122765,70412,75319,88700,164607,93143,145040,174403,82738,1243293
116567,129644,94387,111158,125615,79114,74405,163902,99196,74893,88216,106313,146858,146197,110387,89848,129594,156684,117405,122758,70360,75371,88653,164561,93139,145011,174476,82700,1242993
116498,129668,94399,111235,125591,79134,74416,163720,99219,74820,88222,106318,146884,146276,110340,89871,129522,156693,117450,122757,70397,75373,88633,164645,93223,145129,174477,82681,1242773
116491,129686,94421,111196,125279,79128,74418,163754,99167,74815,88081,106295,146865,146373,110267,89904,129563,156629,117390,122785,70537,75302,88475,164625,93251,145113,174505,82719,1242703
116545,129723,94478,111177,125269,79151,74429,163902,99229,74777,88079,106325,147022,146427,110228,89879,129595,156637,117455,122728,70534,75379,88538,164612,93271,145064,174495,82616,1242503
116599,129828,94493,111180,125384,79145,74546,163990,99248,74803,88011,106307,147069,146365,110237,89856,129657,156570,117413,122817,70456,75357,88513,164530,93309,145129,174498,82697,1242183
116602,129782,94507,111116,125367,79208,74562,164030,99215,74806,88033,106217,147221,146394,110233,89881,129511,156675,117476,122811,70455,75336,88518,164627,93209,145168,174507,82701,1242163
116662,129852,94540,111078,125446,79204,74551,164082,99215,74778,87948,106189,147257,146505,110249,89882,129577,156793,117503,122786,70568,75297,88693,164706,93222,145036,174524,82703,1242273
116658,129874,94537,111079,125455,79176,74527,163837,99272,74817,88031,106169,147230,146388,110260,89905,129590,156741,117445,122714,70513,75283,88727,164677,93127,145077,174308,82671,1241653
116723,129894,94575,111102,125536,79155,74518,163762,99218,74827,88022,106176,147164,146448,110275,89859,129537,156773,117478,122711,70522,75293,88705,164583,93117,145038,174318,82649,1242413
116773,129902,94521,111057,125516,79136,74519,163802,99266,74790,87993,106157,147194,146417,110298,89872,129574,156811,117578,122771,70521,75289,88687,164632,93155,145085,174415,82631,1242023
116731,129933,94460,111067,125469,79142,74537,163898,99241,74776,87945,106164,147185,146396,110275,89852,129641,156844,117604,122725,70560,75348,88616,164706,93143,145130,174355,82630,1242223
116756,129981,94456,111084,125423,79156,74533,164015,99275,74753,87894,106156,147312,146375,110327,89844,129566,156876,117623,122764,70595,75371,88613,164704,93181,145136,174325,82603,1242323
116756,130018,94476,111129,125466,79156,74515,164062,99266,74735,87840,106154,147464,146366,110241,89813,129593,156798,117603,122771,70553,75354,88504,164777,93114,145138,174307,82653,1241823
116791,130063,94494,111047,125408,79104,74574,164138,99225,74733,87842,106115,147474,146369,110204,89780,129584,156829,117596,122802,70588,75384,88493,164595,93198,145171,174284,82637,1241083
116781,129981,94559,111034,125435,79150,74508,164078,99230,74758,87845,106092,147498,146277,110225,89810,129688,156808,117541,122845,70594,75388,88523,164452,93406,145256,174294,82659,1240843
116780,129948,94527,111029,125407,79126,74460,164106,99188,74779,87897,106065,147487,146246,110263,89795,129687,156600,117497,122832,70594,75413,88573,164543,93389,145265,174327,82672,1242333
116745,129928,94524,111050,125353,79052,74419,164093,99184,74802,87883,106121,147513,146294,110250,89798,129653,156560,117507,122885,70585,75343,88508,164416,93326,145236,174181,82719,1241533
116695,129945,94514,111062,125344,79048,74432,164132,99232,74827,87883,106166,147540,146268,110314,89788,129701,156577,117529,122877,70544,75329,88554,164303,93322,145162,174221,82788,1240973
