EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,EURUSD,GBPNZD,XAUUSD
108902,122282,99339,103933,99104,76277,71599,159951,101778,75768,79274,106493,142749,145314,108184,89051,113186,152024,104610,121467,70535,74428,77881,162398,93739,127085,108902,170801,1333223
108853,122229,99355,104159,99190,76110,71404,160344,101514,75612,79273,106551,143001,145202,108152,89048,113387,152381,104823,121436,70533,74458,78075,162545,93672,127307,108853,170827,1331623
108833,122044,99298,104259,99169,76032,71264,160450,101520,75489,79267,106648,143123,145330,108070,89165,113470,152653,104986,121177,70452,74337,78063,162590,93689,127237,108833,170808,1333333
108867,122029,99206,104205,99155,76011,71307,160695,101760,75402,79206,106554,143206,145759,108006,89207,113449,152601,105026,121056,70454,74077,77821,162668,93659,127155,108867,170557,1332553
108779,122106,99365,104221,99215,76009,71289,161006,101752,75520,79214,106580,143089,145634,108090,89080,113374,152518,104875,121323,70494,74198,77837,163010,93670,127256,108779,170446,1332473
108717,122117,99399,104281,99226,75957,71251,160996,101685,75498,79207,106566,143109,145553,108067,89020,113376,152516,104896,121383,70507,74223,77879,163084,93584,127341,108717,170397,1332343
108771,122221,99385,104229,99256,76031,71332,160781,101676,75556,79245,106543,143041,145475,108104,88988,113378,152418,104863,121463,70456,74284,77921,163084,93605,127387,108771,170560,1333303
108733,122205,99396,104227,99236,75981,71292,160781,101689,75516,79188,106529,143084,145538,108080,88968,113332,152448,104845,121461,70499,74240,77861,162848,93590,127367,108733,170791,1334353
108812,122355,99339,104170,99151,76085,71356,160594,101087,75589,79254,106555,142950,144555,108113,88896,113363,152392,104831,121542,70883,74745,78389,162854,94128,127469,108812,170946,1337143
108746,122206,99386,104219,99202,75983,71156,160651,101431,75511,79190,106720,143077,145180,108082,88962,113340,152716,104830,121456,70817,74409,78047,163054,94037,127363,108746,170933,1338963
108710,122195,99398,104321,99226,75982,71159,160688,101399,75511,79263,106733,143045,145085,108054,88949,113410,152697,104942,121446,70840,74450,78151,163030,94042,127471,108710,170932,1337013
108726,122228,99396,104320,99286,75915,71302,160683,101324,75448,79193,106422,143198,145131,108066,88943,113426,152412,104941,121478,70949,74436,78142,163100,94088,127508,108726,170888,1342703
108713,122174,99403,104466,99285,76001,71281,160407,101447,75540,79392,106577,143023,145129,108066,88974,113574,152439,105074,121438,70902,74436,78239,162951,94060,127623,108713,170650,1340653
108782,122173,99396,104409,99310,76102,71343,160445,101516,75635,79457,106629,142918,145123,108126,89029,113584,152407,105027,121430,70870,74482,78253,162786,93985,127553,108782,169829,1338943
108789,122213,99384,104468,99356,76130,71430,160464,101529,75657,79529,106535,142874,145093,108119,89009,113652,152227,105097,121459,70902,74492,78315,162893,94067,127670,108789,170028,1336463
108792,122269,99382,104459,99313,76182,71480,160327,101584,75706,79577,106535,142780,145080,108120,88968,113647,152126,105090,121512,70927,74501,78320,162879,94045,127716,108792,170326,1337133
108791,122165,99416,104380,99324,76272,71500,160220,101684,75820,79611,106628,142615,145060,108158,89040,113559,152085,104974,121448,70885,74537,78271,162891,93982,127509,108791,170368,1336933
108818,122268,99407,104413,99226,76329,71540,160069,101723,75868,79694,106653,142541,145034,108172,88978,113625,152032,105019,121537,70993,74560,78329,162901,94014,127666,108818,170329,1336903
