EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY,XAUUSD
126977,161659,94851,107935,111712,88550,79260,183310,98963,83721,95412,111674,144036,142411,121014,78765,137221,160750,113853,153061,75130,84654,96542,179941,90136,173973,202164,85577,1305925
126999,161560,94881,107952,111765,88488,79274,183061,98959,83710,95492,111605,144061,142460,120942,78845,137354,160673,113977,152951,75211,84556,96512,180005,90187,173954,202398,85613,1306960
127462,161558,94938,107997,111927,88465,79272,183079,98952,83796,95582,111577,143933,142636,120970,78885,137448,160768,114020,152876,75198,84562,96578,179739,89948,173846,202038,85679,1308052
127408,161378,94958,108075,111929,88526,79279,183073,98961,83845,95580,111647,143798,142580,120906,78870,137517,160753,114086,152920,75167,84608,96783,180151,89895,173851,202238,85685,1308466
127475,161290,94965,108048,111883,88571,79300,183116,98981,83844,95581,111664,143794,142496,120937,78924,137614,160710,114120,152769,75161,84755,96826,180037,89874,173951,202103,85696,1308507
127462,161378,94910,108076,111692,88557,79289,183054,98875,83885,95531,111661,143755,142278,120952,78953,137659,160595,114167,152706,75146,84810,96788,180297,89891,173863,201881,85726,1308055
127433,161302,94904,108139,111650,88597,79273,183074,99061,83857,95545,111728,143772,142178,120956,78924,137728,160582,114126,152789,75121,84797,96748,180165,89846,173791,201965,85638,1309381
127382,161310,94869,108138,111678,88542,79180,183129,99049,83830,95681,111776,143847,142205,120904,78928,137639,160656,114143,152757,75128,84761,96767,180084,89909,173833,202092,85649,1308450
127359,161339,94877,108130,111693,88500,79206,183066,99125,83811,95704,111694,143867,142254,120903,78922,137651,160771,114205,152783,75074,84746,96821,180149,89772,173819,202502,85554,1307988
127383,161399,94884,108101,111691,88513,79141,182844,99101,83869,95716,111818,143748,142262,120906,78924,137755,160689,114165,152767,75120,84781,96823,180045,89751,174055,202404,85647,1306590
127336,161375,94920,108121,111685,88592,79214,182859,99034,83908,95813,111816,143694,142209,120850,78906,137699,160882,114147,152793,75221,84761,96818,179942,89574,174224,202451,85708,1307810
127327,161314,94968,108170,111669,88600,79234,182885,99055,83895,95756,111793,143723,142253,120903,78897,137689,160743,114149,152827,75081,84776,96841,179967,89356,174277,202733,85664,1307698
127355,161288,94936,108157,111650,88619,79199,182776,98971,83904,95705,111874,143683,142207,120833,78957,137680,160653,114192,152711,75129,84794,96846,179978,89378,174336,202484,85679,1308998
127366,161355,94860,108136,111645,88630,79232,182880,99148,83915,95687,111840,143662,142176,120820,78960,137714,160798,114207,152683,75059,84825,96789,179963,89392,174557,202364,85666,1308428
127332,161389,95010,108156,111605,88630,79204,182892,99122,83955,95790,111874,143605,142131,120866,78913,137742,160712,114237,152775,75113,84759,96781,179855,89241,174517,202445,85781,1309103
127386,161384,95020,108125,111673,88666,79332,182719,99057,83906,95843,111744,143702,142254,120890,78900,137779,160737,114215,152809,75150,84820,96783,180027,89322,174479,202379,85751,1308179
127367,161396,94992,108111,111590,88629,79315,182556,98943,83877,95852,111720,143742,142145,120912,78922,137736,160484,114215,152779,75296,84780,96725,179917,89268,174602,202196,85666,1307585
127345,161362,94994,108016,111637,88600,79305,182430,98580,83995,95847,111695,143536,142210,120891,78910,137738,160559,114182,152789,75359,84874,96777,179833,89337,174367,202224,85771,1307673
127348,161207,94606,108065,111634,88733,79366,182387,98458,84078,95862,111779,143382,142039,120893,78932,137701,160565,114181,152746,75204,84836,96839,179816,89349,174318,202156,85681,1307253
127381,161235,94647,108002,111635,88724,79332,182410,98351,84105,95877,111814,143342,142107,120898,78920,137718,160457,114089,152761,75183,84806,97022,179985,89451,174515,202027,85809,1307215
127375,161239,94612,108065,111587,88790,79405,182290,98329,84053,95822,111797,143432,142156,120828,78940,137593,160334,114150,152723,75212,84978,97021,179897,89389,174439,202075,85834,1306605
127381,161151,94624,108085,111427,88807,79414,182362,98278,84165,95711,111804,143231,141865,120793,79001,137661,160266,113960,152605,75548,84934,97116,179913,89469,174427,202065,85855,1306210
127234,161144,94654,108135,111421,88873,79393,182534,98134,84141,95896,111921,143261,141925,120883,78995,137421,160376,114073,152615,75520,85014,96969,179763,89473,174412,202136,85875,1306020
127293,161237,94664,108128,111315,88900,79420,182649,98185,84150,95830,111917,143270,141815,120892,79034,137563,160317,114189,152516,75472,84806,97061,180114,89488,174506,201934,85991,1307736
127392,161483,94675,108129,111420,88907,79526,182582,98166,84094,95956,111780,143355,142152,120874,79004,137697,160350,114172,152608,75698,84866,97075,179895,89506,174558,201820,86064,1308346
127315,161483,94678,108070,111350,88984,79636,182450,98238,84130,95992,111713,143327,142088,120846,78999,137675,160164,114232,152610,75689,84867,96931,179821,89462,174473,200954,86082,1311356
127376,161389,94704,108106,111368,89016,79627,182145,98183,84077,96108,111769,143398,142065,120782,79013,137733,160167,114236,152617,75641,84942,97120,179884,89479,174411,201135,85987,1311250
127397,160888,94717,108136,111408,88944,79514,182082,98218,84072,96129,111831,143325,141833,120788,79031,137760,160213,114343,152556,75516,85152,97249,179961,89464,174516,201356,85770,1310188
127582,160199,94686,108118,111977,88800,79243,182100,98225,83955,96141,111915,143620,141603,120776,79027,137881,160383,114370,152420,75504,85259,97333,180154,89557,174505,201248,85389,1312215
127601,160057,94669,108779,111903,88034,78506,182095,98273,83946,96170,112094,143622,141425,120770,78927,137950,160436,114386,152774,75473,85359,97266,180499,89589,174474,201965,85021,1312348
127561,160105,94701,108865,111817,87975,78084,182197,98272,83980,96236,112402,143554,141243,120794,78949,137946,161039,114136,152730,75379,85327,97243,180446,89555,174335,201850,84928,1314801
