EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY
111860,129294,100902,114323,136725,73564,68306,176177,100562,74120,84091,107643,147734,148551,109638,84037,124182,158958,113266,130443,68908,73686,83606,177502,93389,147809,187237,78110
111856,129295,100899,114308,136715,73552,68263,176175,100569,74149,84102,107654,147739,148568,109636,84024,124184,158988,113252,130437,68936,73671,83567,177457,93413,147778,187187,78105
111856,129286,100907,114302,136715,73512,68230,176238,100581,74196,84071,107702,147681,148613,109641,84034,124214,159012,113236,130438,68932,73626,83485,177471,93415,147772,187198,78088
111850,129287,100913,114288,136729,73516,68213,176269,100620,74193,84024,107716,147690,148742,109638,84036,124237,159107,113251,130443,68913,73541,83461,177483,93404,147753,187229,78028
111833,129291,100910,114278,136773,73504,68193,176303,100642,74220,84017,107712,147710,148790,109648,84037,124215,159196,113237,130442,68909,73554,83397,177490,93425,147739,187181,77986
111851,129287,100899,114299,136897,73480,68220,176290,100698,74213,84000,107654,147784,148890,109657,84037,124203,159245,113240,130447,68866,73573,83313,177500,93448,147769,187253,77958
111866,129290,100891,114283,136923,73471,68255,176297,100786,74207,83988,107657,147797,149046,109647,84045,124203,159265,113248,130458,68838,73576,83321,177514,93425,147743,187224,77951
111867,129283,100886,114273,137017,73506,68322,176289,100750,74169,83964,107677,147821,149022,109650,84047,124193,159206,113261,130450,68820,73569,83342,177534,93459,147775,187181,77972
111851,129324,100887,114272,137180,73597,68312,176361,100765,74169,83996,107674,147845,148975,109641,84036,124200,159133,113338,130475,68807,73563,83352,177530,93547,147753,187153,78003
111855,129307,100889,114277,137148,73583,68290,176338,100874,74162,84098,107708,147877,148967,109639,84043,124186,158980,113312,130447,68830,73571,83352,177503,93565,147762,187126,78087
